led,t,deltat,AcX,AcY,AcZ,GravX,GravY,GravZ,QuatW,QuatX,QuatY,QuatZ,OrX,OrY,OrZ,GyX,GyY,GyZ
0,5351,50,1.21,-0.63,-0.25,-2.46,2.36,9.19,0.98425,0.12183,0.12817,0.00403,359.50,-14.56,-14.44,0.06,0.05,-0.01
0,5401,50,0.14,1.62,-2.32,-2.45,2.37,9.19,0.98425,0.12244,0.12762,0.00372,359.50,-14.50,-14.38,-0.01,0.01,-0.01
0,5451,50,0.77,-0.26,-0.41,-2.44,2.35,9.19,0.98437,0.12164,0.12714,0.00372,359.56,-14.44,-14.31,0.06,-0.03,-0.01
0,5501,50,0.50,-0.47,0.72,-2.43,2.35,9.20,0.98444,0.12164,0.12671,0.00366,359.56,-14.38,-14.31,0.03,-0.01,-0.01
0,5551,50,0.66,1.12,0.43,-2.43,2.37,9.19,0.98437,0.12262,0.12646,0.00348,359.56,-14.31,-14.38,-0.01,-0.06,0.00
0,5601,50,0.69,-0.20,0.82,-2.43,2.38,9.19,0.98425,0.12329,0.12671,0.00336,359.56,-14.31,-14.50,0.07,-0.10,0.01
0,5651,50,0.88,-0.31,0.55,-2.44,2.39,9.19,0.98419,0.12341,0.12701,0.00336,359.56,-14.38,-14.63,0.05,0.02,-0.00
0,5701,50,0.64,-0.69,0.77,-2.44,2.38,9.19,0.98419,0.12329,0.12726,0.00330,359.56,-14.38,-14.56,-0.02,0.03,0.01
0,5751,50,0.05,0.15,-0.81,-2.44,2.38,9.19,0.98419,0.12323,0.12714,0.00311,359.63,-14.38,-14.50,-0.10,-0.00,0.01
0,5801,50,0.65,-0.50,-1.31,-2.43,2.37,9.19,0.98437,0.12238,0.12677,0.00323,359.63,-14.38,-14.50,0.00,0.03,-0.01
0,5851,50,1.05,-0.26,0.57,-2.43,2.35,9.20,0.98444,0.12177,0.12653,0.00323,359.56,-14.38,-14.38,-0.07,0.03,0.00
0,5901,50,0.80,-0.02,0.11,-2.43,2.36,9.19,0.98437,0.12219,0.12671,0.00293,359.63,-14.38,-14.44,0.04,0.08,-0.03
0,5951,50,1.79,-0.42,0.98,-2.43,2.36,9.20,0.98444,0.12195,0.12653,0.00281,359.63,-14.38,-14.38,0.02,0.07,-0.02
0,6001,50,1.81,-0.67,1.71,-2.42,2.37,9.19,0.98437,0.12256,0.12616,0.00262,359.63,-14.38,-14.38,-0.07,-0.04,-0.01
0,6051,50,1.62,0.64,-0.27,-2.42,2.37,9.20,0.98444,0.12268,0.12567,0.00256,359.69,-14.31,-14.38,-0.03,-0.01,-0.00
0,6102,51,1.91,-0.83,1.23,-2.41,2.36,9.20,0.98450,0.12225,0.12555,0.00256,359.69,-14.31,-14.44,0.10,-0.00,-0.01
0,6152,50,0.55,-0.34,0.95,-2.42,2.37,9.20,0.98444,0.12262,0.12579,0.00250,359.69,-14.25,-14.44,0.06,-0.04,-0.01
0,6202,50,0.63,0.03,-0.56,-2.43,2.37,9.19,0.98437,0.12292,0.12622,0.00244,359.69,-14.31,-14.44,-0.00,-0.08,0.01
0,6252,50,0.47,-0.20,0.25,-2.44,2.37,9.19,0.98431,0.12262,0.12683,0.00250,359.69,-14.38,-14.44,-0.03,0.07,-0.01
0,6302,50,1.62,-1.54,1.14,-2.44,2.36,9.19,0.98431,0.12219,0.12708,0.00256,359.69,-14.44,-14.44,-0.08,0.02,0.00
0,6352,50,1.57,-0.23,0.37,-2.45,2.35,9.19,0.98437,0.12189,0.12726,0.00250,359.69,-14.44,-14.38,-0.01,-0.03,0.01
0,6402,50,0.37,-0.14,-1.39,-2.45,2.35,9.19,0.98431,0.12189,0.12732,0.00244,359.69,-14.44,-14.38,-0.02,-0.02,0.00
0,6452,50,1.15,-0.20,-1.39,-2.44,2.35,9.20,0.98444,0.12170,0.12683,0.00244,359.69,-14.38,-14.31,-0.01,0.01,-0.00
0,6502,50,1.27,-0.34,-0.36,-2.43,2.36,9.20,0.98444,0.12201,0.12653,0.00232,359.69,-14.38,-14.31,-0.03,-0.02,-0.00
0,6552,50,0.89,-0.05,-0.53,-2.43,2.35,9.20,0.98444,0.12189,0.12646,0.00220,359.69,-14.38,-14.38,-0.01,-0.01,-0.01
0,6602,50,1.82,-0.06,0.53,-2.43,2.35,9.20,0.98450,0.12170,0.12646,0.00208,359.75,-14.38,-14.31,0.03,-0.05,0.00
0,6652,50,1.67,-0.54,0.52,-2.44,2.34,9.20,0.98450,0.12109,0.12677,0.00208,359.75,-14.44,-14.25,0.01,-0.06,0.00
0,6702,50,1.09,-0.67,-1.16,-2.44,2.34,9.20,0.98450,0.12097,0.12695,0.00214,359.69,-14.44,-14.19,-0.03,-0.03,0.00
0,6752,50,0.81,-1.36,-0.73,-2.44,2.32,9.20,0.98456,0.12036,0.12708,0.00226,359.69,-14.44,-14.25,0.06,0.02,-0.01
0,6802,50,0.94,-0.82,0.49,-2.44,2.32,9.20,0.98462,0.11993,0.12701,0.00226,359.69,-14.44,-14.13,-0.06,0.09,-0.01
0,6852,50,0.57,-0.59,-2.07,-2.45,2.32,9.20,0.98456,0.12006,0.12726,0.00226,359.69,-14.44,-14.13,-0.01,0.06,-0.01
0,6902,50,1.10,-0.53,-0.55,-2.45,2.32,9.20,0.98450,0.12018,0.12756,0.00220,359.69,-14.50,-14.13,0.02,0.03,-0.02
0,6952,50,0.95,-0.45,0.29,-2.45,2.32,9.20,0.98456,0.12012,0.12744,0.00214,359.69,-14.50,-14.13,0.01,-0.03,-0.01
0,7002,50,0.44,0.82,-1.29,-2.45,2.33,9.20,0.98456,0.12042,0.12714,0.00201,359.75,-14.44,-14.13,-0.06,-0.04,0.00
0,7052,50,0.27,0.14,-1.18,-2.44,2.32,9.20,0.98462,0.12030,0.12671,0.00189,359.75,-14.38,-14.13,0.11,-0.06,-0.00
